"ID (a)" "Genes (b)" "num (c) " "neg|score (d)" "neg|p-value (e) " "neg|fdr (f)" "neg|rank (g)" "neg|goodsgrna (h)" "neg|lfc (i)" "pos|score (j)" "pos|p-value (k)" "pos|fdr (l)" "pos|rank (m)" "pos|goodsgrna (n)" "pos|lfc (o)"
ENSG00000167676 PLIN4 30 0.87826 0.99406 1 17005 7 0.33404 0.00068308 0.00021597 0.004145 981 17 0.33404
ENSG00000009413 REV3L 30 0.56663 0.93711 1 13982 9 -0.050291 0.00068615 0.00021597 0.004145 982 10 -0.050291
ENSG00000162073 PAQR4 30 0.99876 0.99997 1 18334 3 0.33927 0.0006868 0.00021807 0.004181 983 19 0.33927
ENSG00000160111 CPAMD8 30 0.75192 0.97927 1 15848 5 0.36591 0.00069044 0.00021912 0.004197 984 17 0.36591
ENSG00000154839 SKA1 29 0.52198 0.91841 1 13388 5 0.071882 0.00069107 0.00020127 0.003902 985 12 0.071882
ENSG00000010292 NCAPD2 30 0.23328 0.71487 1 9000 8 -0.0039068 0.00069231 0.00022069 0.004222 986 11 -0.0039068
ENSG00000157426 AASDH 30 0.71103 0.97169 1 15483 8 0.36636 0.00069511 0.00022227 0.00423 987 16 0.36636
ENSG00000179869 ABCA13 30 0.85888 0.9927 1 16838 4 0.41699 0.00070448 0.00022279 0.00423 988 19 0.41699
ENSG00000154764 WNT7A 30 0.24355 0.72799 1 9208 6 0.30109 0.00071095 0.00022332 0.00423 989 17 0.30109
ENSG00000122136 OBP2A 30 0.93191 0.99769 1 17493 4 0.2668 0.00071201 0.00022332 0.00423 990 17 0.2668
ENSG00000103404 USP31 30 0.40891 0.86326 1 11952 5 0.36892 0.00071256 0.00022332 0.00423 991 18 0.36892
ENSG00000108094 CUL2 30 0.4642 0.89466 1 12666 6 0.46953 0.00071437 0.00022332 0.00423 992 19 0.46953
ENSG00000181938 GINS3 30 0.63376 0.95368 1 14713 8 0.022087 0.00071448 0.00022332 0.00423 993 13 0.022087
ENSG00000205730 ITPRIPL2 30 0.60234 0.94728 1 14403 5 0.30745 0.00071902 0.00022384 0.004233 994 17 0.30745
ENSG00000159259 CHAF1B 30 0.2647 0.75148 1 9614 11 0.086714 0.00072104 0.00022437 0.004233 995 12 0.086714
ENSG00000137876 RSL24D1 29 0.43481 0.876 1 12313 9 -0.013218 0.00072112 0.00020757 0.004016 996 12 -0.013218
ENSG00000175592 FOSL1 30 0.51696 0.91621 1 13325 5 0.30743 0.00072119 0.00022437 0.004233 997 17 0.30743
ENSG00000127054 INTS11 30 0.80233 0.98627 1 16306 5 0.27921 0.00072249 0.00022437 0.004233 998 14 0.27921
ENSG00000176953 NFATC2IP 30 0.31136 0.79725 1 10435 10 -0.028515 0.0007243 0.00022489 0.004238 999 13 -0.028515
ENSG00000100316 RPL3 27 0.71676 0.96912 1 15545 8 0.33923 0.00072583 0.00022279 0.00423 1000 12 0.33923
ENSG00000132434 LANCL2 30 0.76408 0.98086 1 15955 3 0.31292 0.00072835 0.00022542 0.004244 1001 18 0.31292
ENSG00000157368 IL34 30 0.85167 0.99217 1 16779 4 0.24282 0.00073029 0.00022594 0.00425 1002 16 0.24282
ENSG00000076984 MAP2K7 30 0.26281 0.74935 1 9588 9 0.0075363 0.00073695 0.00022699 0.004261 1003 11 0.0075363
ENSG00000186326 RGS9BP 30 0.55189 0.93141 1 13795 5 0.29537 0.00073866 0.00022699 0.004261 1004 18 0.29537
ENSG00000196199 MPHOSPH8 30 0.91573 0.99667 1 17343 7 0.42038 0.00074273 0.00022752 0.004266 1005 16 0.42038
ENSG00000122218 COPA 28 0.016926 0.15553 1 2786 12 -0.12794 0.00075354 0.00023119 0.004331 1006 10 -0.12794
ENSG00000135763 URB2 30 0.98299 0.99956 1 18044 3 0.45982 0.000761 0.00023381 0.00436 1007 17 0.45982
ENSG00000168724 DNAJC21 30 0.99109 0.99981 1 18168 3 0.18846 0.00076525 0.00023381 0.00436 1008 15 0.18846
ENSG00000084070 SMAP2 30 0.92638 0.99747 1 17446 5 0.23304 0.00076579 0.00023381 0.00436 1009 19 0.23304
ENSG00000173992 CCS 30 0.94214 0.99805 1 17602 6 0.38415 0.00076779 0.00023381 0.00436 1010 19 0.38415
ENSG00000048052 HDAC9 30 0.83095 0.98981 1 16596 5 0.30901 0.00076798 0.00023434 0.00436 1011 18 0.30901
ENSG00000008516 MMP25 30 0.98359 0.99958 1 18054 3 0.29748 0.00077046 0.00023434 0.00436 1012 18 0.29748
ENSG00000008710 PKD1 30 0.85461 0.99241 1 16805 6 0.32576 0.00077579 0.00023434 0.00436 1013 19 0.32576
ENSG00000169951 ZNF764 30 0.45598 0.89133 1 12557 5 0.31448 0.0007759 0.00023539 0.004375 1014 17 0.31448
ENSG00000116752 BCAS2 29 0.43517 0.87621 1 12322 8 0.52168 0.00078334 0.00022227 0.00423 1015 16 0.52168
ENSG00000146143 PRIM2 29 0.96398 0.99892 1 17845 5 0.57651 0.00078525 0.00022332 0.00423 1016 16 0.57651
ENSG00000153786 ZDHHC7 30 0.99945 0.99999 1 18371 2 0.28133 0.00078828 0.00023644 0.00439 1017 19 0.28133
ENSG00000142002 DPP9 30 0.85346 0.99227 1 16794 4 0.35723 0.00080265 0.00024011 0.004439 1018 19 0.35723
ENSG00000142459 EVI5L 30 0.32711 0.80917 1 10716 7 0.17445 0.00080845 0.00024169 0.004439 1019 12 0.17445
ENSG00000125841 NRSN2 30 0.15135 0.5928 1 7212 11 0.083648 0.00080937 0.00024169 0.004439 1020 12 0.083648
ENSG00000148200 NR6A1 30 0.76383 0.98085 1 15952 5 0.20493 0.00081346 0.00024221 0.004439 1021 16 0.20493
ENSG00000133805 AMPD3 30 0.20581 0.68225 1 8424 6 0.29794 0.00081526 0.00024221 0.004439 1022 19 0.29794
ENSG00000168159 RNF187 30 0.77263 0.98241 1 16011 8 0.3071 0.00081775 0.00024221 0.004439 1023 16 0.3071
ENSG00000242265 PEG10 30 0.48228 0.90138 1 12890 8 0.22334 0.00081998 0.00024221 0.004439 1024 17 0.22334
ENSG00000185615 PDIA2 30 0.79453 0.98514 1 16228 5 0.35277 0.00082094 0.00024221 0.004439 1025 18 0.35277
ENSG00000175643 RMI2 30 0.93916 0.99793 1 17572 4 0.3027 0.00082573 0.00024221 0.004439 1026 18 0.3027
ENSG00000253293 HOXA10 30 0.97945 0.99947 1 18000 3 0.40286 0.0008264 0.00024274 0.004439 1027 19 0.40286
ENSG00000160445 ZER1 30 0.55847 0.93396 1 13880 6 0.5469 0.00082865 0.00024274 0.004439 1028 19 0.5469
ENSG00000147465 STAR 30 0.81367 0.98761 1 16436 6 0.11004 0.00083205 0.00024274 0.004439 1029 14 0.11004
ENSG00000104064 GABPB1 30 0.11689 0.51119 1 6366 10 0.072775 0.00083367 0.00024326 0.004439 1030 13 0.072775
ENSG00000147403 RPL10 30 0.33386 0.81358 1 10805 8 0.36876 0.00083479 0.00024326 0.004439 1031 16 0.36876
ENSG00000103316 CRYM 30 0.99708 0.99994 1 18290 4 0.30394 0.00083544 0.00024379 0.004439 1032 18 0.30394
ENSG00000187801 ZFP69B 30 0.57985 0.94069 1 14138 6 0.32517 0.00083778 0.00024379 0.004439 1033 17 0.32517
ENSG00000109320 NFKB1 30 0.35196 0.82681 1 11083 2 0.30186 0.00083881 0.00024379 0.004439 1034 17 0.30186
ENSG00000167394 ZNF668 30 0.32211 0.80534 1 10639 4 0.31712 0.00084098 0.00024431 0.004444 1035 18 0.31712
ENSG00000135018 UBQLN1 30 0.8304 0.98974 1 16590 7 0.21571 0.00084445 0.00024588 0.004469 1036 16 0.21571
ENSG00000106038 EVX1 30 0.42342 0.8731 1 12158 4 0.34328 0.00084771 0.00024798 0.004495 1037 18 0.34328
ENSG00000130775 THEMIS2 30 0.778 0.983 1 16064 5 0.17681 0.00084775 0.00024798 0.004495 1038 14 0.17681
ENSG00000137818 RPLP1 24 0.3308 0.78365 1 10759 8 0.023019 0.00084956 0.00023959 0.004439 1039 10 0.023019
ENSG00000074266 EED 30 0.9696 0.9992 1 17911 5 0.37531 0.00085018 0.00024851 0.004495 1040 18 0.37531
ENSG00000149231 CCDC82 30 0.9915 0.99982 1 18172 2 0.31393 0.00085226 0.00024851 0.004495 1041 19 0.31393
ENSG00000183258 DDX41 30 0.25596 0.74091 1 9456 9 -0.06779 0.00085374 0.00024851 0.004495 1042 11 -0.06779
ENSG00000153814 JAZF1 30 0.73935 0.97753 1 15760 6 0.29854 0.00085515 0.00024903 0.004496 1043 17 0.29854
ENSG00000138801 PAPSS1 30 0.561 0.93526 1 13907 5 0.15497 0.00085625 0.00024903 0.004496 1044 13 0.15497
ENSG00000114354 TFG 30 0.99713 0.99994 1 18293 4 0.28127 0.00085848 0.00025113 0.004525 1045 19 0.28127
ENSG00000131828 PDHA1 30 0.65974 0.95942 1 14991 2 0.37221 0.0008603 0.00025113 0.004525 1046 18 0.37221
ENSG00000100023 PPIL2 27 0.3993 0.8483 1 11822 8 0.25509 0.00086033 0.00025796 0.004621 1047 13 0.25509
ENSG00000187741 FANCA 30 0.58454 0.94171 1 14202 8 0.25701 0.00086425 0.00025166 0.004526 1048 16 0.25701
ENSG00000138758 Sep-11 24 0.99998 1 1 18430 0 0.32563 0.00086687 0.00024221 0.004439 1049 15 0.32563
ENSG00000106538 RARRES2 30 0.95119 0.99839 1 17700 6 0.27134 0.00087321 0.00025166 0.004526 1050 18 0.27134
ENSG00000167981 ZNF597 30 0.63402 0.95377 1 14715 8 0.26085 0.00087572 0.00025218 0.004527 1051 16 0.26085
ENSG00000182504 CEP97 30 0.7544 0.97963 1 15865 7 0.32754 0.00087766 0.00025218 0.004527 1052 17 0.32754
ENSG00000141543 EIF4A3 25 0.034431 0.22801 1 3650 13 -0.49042 0.00087863 0.00026268 0.004697 1053 8 -0.49042
ENSG00000148346 LCN2 30 0.79821 0.98562 1 16264 6 0.27 0.00087941 0.00025271 0.004532 1054 16 0.27
ENSG00000137714 FDX1 24 0.94311 0.99691 1 17618 5 0.26598 0.00088026 0.00024274 0.004439 1055 14 0.26598
ENSG00000138668 HNRNPD 30 0.3285 0.80966 1 10728 9 0.43868 0.00088614 0.00027842 0.00496 1056 16 0.43868
ENSG00000104825 NFKBIB 30 0.60415 0.94754 1 14428 6 0.29528 0.00089071 0.00028157 0.004997 1057 15 0.29528
ENSG00000261236 BOP1 30 0.96476 0.99901 1 17854 5 0.42945 0.00089224 0.00028157 0.004997 1058 17 0.42945
ENSG00000176225 RTTN 30 0.22182 0.70203 1 8760 7 0.30253 0.00089772 0.00028262 0.004997 1059 17 0.30253
ENSG00000125977 EIF2S2 28 0.072087 0.37961 1 5039 12 -0.13479 0.00090363 0.00026688 0.004763 1060 10 -0.13479
ENSG00000168291 PDHB 30 0.79156 0.98481 1 16199 5 0.25094 0.00090378 0.00028315 0.004997 1061 16 0.25094
ENSG00000172663 TMEM134 30 0.50205 0.90805 1 13132 7 0.13523 0.00090548 0.00028315 0.004997 1062 14 0.13523
ENSG00000102921 N4BP1 30 0.64935 0.95736 1 14878 4 0.061816 0.00090686 0.00028315 0.004997 1063 14 0.061816
ENSG00000006747 SCIN 30 0.65255 0.95825 1 14911 8 0.27952 0.00090703 0.00028315 0.004997 1064 17 0.27952
ENSG00000174177 CTU2 30 0.9755 0.99937 1 17963 5 0.25192 0.00090713 0.00028315 0.004997 1065 16 0.25192
ENSG00000092201 SUPT16H 30 0.23949 0.72077 1 9110 11 0.041073 0.00090785 0.00028315 0.004997 1066 10 0.041073
ENSG00000147955 SIGMAR1 30 0.98802 0.99974 1 18117 4 0.39011 0.00091155 0.00028367 0.005001 1067 18 0.39011
ENSG00000167414 GNG8 30 0.85094 0.99213 1 16772 7 0.29157 0.00091407 0.00028577 0.005034 1068 18 0.29157
ENSG00000083168 KAT6A 30 0.98401 0.99959 1 18058 4 0.3618 0.0009165 0.0002884 0.005066 1069 16 0.3618
ENSG00000204644 ZFP57 30 0.40807 0.86316 1 11943 9 0.18301 0.00091763 0.0002884 0.005066 1070 15 0.18301
ENSG00000247315 ZCCHC3 30 0.92347 0.99732 1 17418 3 0.30475 0.0009183 0.0002884 0.005066 1071 18 0.30475
ENSG00000149743 TRPT1 30 0.99997 1 1 18427 1 0.3013 0.00092082 0.00028892 0.00507 1072 18 0.3013
ENSG00000160211 G6PD 30 0.81215 0.98743 1 16424 4 0.3126 0.00092272 0.00028945 0.00507 1073 18 0.3126
ENSG00000147604 RPL7 30 0.18204 0.65434 1 7948 9 0.15165 0.00092283 0.00028945 0.00507 1074 11 0.15165
ENSG00000170312 CDK1 29 0.71716 0.97243 1 15551 6 0.33818 0.00092651 0.00026006 0.004655 1075 17 0.33818
ENSG00000152611 CAPSL 30 0.81069 0.98726 1 16410 4 0.31888 0.00092663 0.00028997 0.005074 1076 17 0.31888
ENSG00000131495 NDUFA2 30 0.58321 0.94147 1 14188 7 0.25591 0.00092894 0.0002905 0.005074 1077 14 0.25591
ENSG00000109189 USP46 30 0.17202 0.64215 1 7693 6 0.32118 0.00093069 0.0002905 0.005074 1078 17 0.32118
ENSG00000130956 HABP4 30 0.99159 0.99982 1 18174 3 0.2618 0.00093888 0.00029417 0.005124 1079 17 0.2618
ENSG00000187533 PRR27 30 0.9289 0.99755 1 17464 6 0.35707 0.00093898 0.00029417 0.005124 1080 17 0.35707
ENSG00000130731 METTL26 30 0.6875 0.96555 1 15265 5 0.17061 0.00094693 0.00029627 0.005151 1081 15 0.17061
ENSG00000104899 AMH 30 0.85934 0.99272 1 16844 6 0.31303 0.00094784 0.00029627 0.005151 1082 17 0.31303
ENSG00000101347 SAMHD1 30 0.91938 0.997 1 17382 6 0.31354 0.00095274 0.00029784 0.005174 1083 17 0.31354
ENSG00000133393 FOPNL 30 0.10534 0.48662 1 6097 8 0.10906 0.00095463 0.00029889 0.005187 1084 14 0.10906
ENSG00000151882 CCL28 30 0.74348 0.97811 1 15796 6 0.21206 0.00095942 0.00029994 0.0052 1085 17 0.21206
ENSG00000213639 PPP1CB 29 0.5269 0.92045 1 13444 10 -0.178 0.00096116 0.00026373 0.004711 1086 10 -0.178
ENSG00000114204 SERPINI2 30 0.56462 0.93638 1 13956 7 0.28445 0.00096325 0.00030047 0.0052 1087 17 0.28445
ENSG00000127540 UQCR11 30 0.73928 0.97751 1 15756 3 0.30182 0.0009654 0.00030047 0.0052 1088 17 0.30182
ENSG00000135406 PRPH 30 0.2043 0.68054 1 8405 9 0.10281 0.00097438 0.00030257 0.005227 1089 13 0.10281
ENSG00000102924 CBLN1 30 0.96876 0.99917 1 17900 4 0.24794 0.00097516 0.00030257 0.005227 1090 19 0.24794
ENSG00000103154 NECAB2 30 0.15425 0.59913 1 7278 9 0.10655 0.00097734 0.00030414 0.005234 1091 13 0.10655
ENSG00000105698 USF2 30 0.28617 0.77594 1 10022 10 0.069697 0.00097899 0.00030467 0.005234 1092 13 0.069697
ENSG00000159579 RSPRY1 30 0.70575 0.97045 1 15434 9 0.082848 0.00098057 0.00030467 0.005234 1093 14 0.082848
ENSG00000099995 SF3A1 29 0.58689 0.9402 1 14233 8 0.21285 0.00098151 0.0002737 0.00488 1094 12 0.21285
ENSG00000180423 HARBI1 30 0.91245 0.99642 1 17310 6 0.34101 0.00098209 0.00030467 0.005234 1095 16 0.34101
ENSG00000131050 BPIFA2 30 0.66278 0.96014 1 15023 9 0.026377 0.00098436 0.00030467 0.005234 1096 13 0.026377
ENSG00000105640 RPL18A 16 0.84868 0.97797 1 16755 3 0.95958 0.00098661 0.00040176 0.006305 1097 10 0.95958
ENSG00000204178 TMEM57 30 0.99968 0.99999 1 18380 2 0.31276 0.00099101 0.00030519 0.005234 1098 17 0.31276
ENSG00000136122 BORA 30 0.796 0.98532 1 16237 6 0.38995 0.00099258 0.00030519 0.005234 1099 16 0.38995
ENSG00000075142 SRI 30 0.48607 0.90272 1 12943 8 0.26493 0.00099374 0.00030572 0.005234 1100 16 0.26493
ENSG00000177479 ARIH2 30 0.41021 0.86406 1 11977 5 0.33899 0.00099897 0.00030572 0.005234 1101 18 0.33899
ENSG00000156650 KAT6B 30 0.83552 0.99041 1 16645 3 0.22616 0.0010035 0.00030729 0.005256 1102 19 0.22616
ENSG00000152795 HNRNPDL 30 0.79966 0.9858 1 16279 5 0.17626 0.001005 0.00030782 0.00526 1103 15 0.17626
ENSG00000089685 BIRC5 29 0.05968 0.33785 1 4611 14 -0.32139 0.0010073 0.00028262 0.004997 1104 11 -0.32139
ENSG00000006715 VPS41 30 0.9651 0.99902 1 17857 3 0.30739 0.0010086 0.00030886 0.005273 1105 18 0.30739
ENSG00000128039 SRD5A3 30 0.32626 0.80826 1 10704 10 0.3553 0.0010145 0.00031201 0.005321 1106 17 0.3553
ENSG00000196620 UGT2B15 30 0.73801 0.97734 1 15749 8 0.21219 0.0010177 0.00031254 0.005321 1107 15 0.21219
ENSG00000125952 MAX 30 0.82544 0.98917 1 16537 5 0.17768 0.0010224 0.00031306 0.005321 1108 15 0.17768
ENSG00000186020 ZNF529 30 0.81709 0.98812 1 16467 7 0.33552 0.0010237 0.00031306 0.005321 1109 18 0.33552
ENSG00000165215 CLDN3 30 0.90669 0.99595 1 17256 6 0.30926 0.0010266 0.00031306 0.005321 1110 18 0.30926
ENSG00000145242 EPHA5 30 0.80147 0.98623 1 16297 5 0.13731 0.001029 0.00031359 0.005325 1111 13 0.13731
ENSG00000188937 NYX 30 0.92412 0.99734 1 17427 6 0.23943 0.0010396 0.00031621 0.00536 1112 17 0.23943
ENSG00000007384 RHBDF1 30 0.24937 0.73272 1 9328 11 0.33375 0.0010413 0.00031621 0.00536 1113 17 0.33375
ENSG00000114854 TNNC1 30 0.19472 0.6684 1 8212 7 0.23758 0.0010475 0.00031936 0.005408 1114 19 0.23758
ENSG00000101082 SLA2 26 0.90375 0.99454 1 17234 3 0.39771 0.0010545 0.00030467 0.005234 1115 16 0.39771
ENSG00000186111 PIP5K1C 30 0.91923 0.99699 1 17379 4 0.30725 0.0010683 0.00032566 0.005497 1116 15 0.30725
ENSG00000146707 POMZP3 30 0.9721 0.99926 1 17937 5 0.29706 0.0010691 0.00032566 0.005497 1117 18 0.29706
ENSG00000105373 NOP53 30 0.77344 0.98252 1 16019 6 0.19541 0.0010738 0.00032618 0.005497 1118 15 0.19541
ENSG00000204361 NXPE2 30 0.33956 0.81694 1 10889 6 0.1073 0.001076 0.00032618 0.005497 1119 13 0.1073
ENSG00000089902 RCOR1 30 0.80874 0.98698 1 16390 7 0.34131 0.001082 0.00032723 0.005497 1120 18 0.34131
ENSG00000198931 APRT 30 0.97978 0.99948 1 18003 4 0.24924 0.0010867 0.00032723 0.005497 1121 17 0.24924
ENSG00000249693 THEGL 30 0.94498 0.99813 1 17636 6 0.1259 0.0010873 0.00032723 0.005497 1122 14 0.1259
ENSG00000204673 AKT1S1 30 0.32183 0.80452 1 10635 6 0.20118 0.0010889 0.00032723 0.005497 1123 15 0.20118
ENSG00000055955 ITIH4 30 0.66107 0.95959 1 15003 5 0.32369 0.001093 0.00032776 0.005501 1124 17 0.32369
ENSG00000075336 TIMM21 30 0.97115 0.99923 1 17934 2 0.30367 0.0010974 0.00032828 0.005505 1125 16 0.30367
ENSG00000184517 ZFP1 30 0.53808 0.9261 1 13591 5 0.30824 0.0011032 0.00033301 0.005579 1126 18 0.30824
ENSG00000157103 SLC6A1 30 0.89315 0.99506 1 17136 7 0.30197 0.0011072 0.00033406 0.005592 1127 17 0.30197
ENSG00000161204 ABCF3 30 0.99787 0.99996 1 18305 3 0.25645 0.0011089 0.00033458 0.005596 1128 17 0.25645
ENSG00000134644 PUM1 30 0.99293 0.99984 1 18189 4 0.33432 0.0011205 0.00033616 0.005607 1129 18 0.33432
ENSG00000185022 MAFF 30 0.877 0.99395 1 16996 5 0.25224 0.0011205 0.00033616 0.005607 1130 17 0.25224
ENSG00000166971 AKTIP 30 0.77771 0.98292 1 16063 7 0.36787 0.0011211 0.00033616 0.005607 1131 17 0.36787
ENSG00000104299 INTS9 25 0.47535 0.88862 1 12820 8 0.25142 0.0011218 0.00032671 0.005497 1132 11 0.25142
ENSG00000048462 TNFRSF17 30 0.40366 0.8602 1 11881 9 0.26253 0.0011313 0.00033826 0.005627 1133 15 0.26253
ENSG00000134569 LRP4 30 0.91851 0.99692 1 17373 7 0.30774 0.0011327 0.00033826 0.005627 1134 18 0.30774
ENSG00000145431 PDGFC 30 0.92279 0.99724 1 17412 5 0.28961 0.0011425 0.00033878 0.005631 1135 19 0.28961
ENSG00000070915 SLC12A3 30 0.95094 0.99838 1 17698 6 0.27545 0.001145 0.00034035 0.005652 1136 17 0.27545
ENSG00000187546 AGMO 28 0.64801 0.95547 1 14859 6 0.056206 0.0011558 0.00033773 0.005627 1137 13 0.056206
ENSG00000123739 PLA2G12A 30 0.85074 0.9921 1 16769 4 0.40849 0.0011569 0.00034298 0.005691 1138 18 0.40849
ENSG00000106462 EZH2 30 0.39046 0.85279 1 11673 6 0.26637 0.0011573 0.0003435 0.005694 1139 17 0.26637
ENSG00000118197 DDX59 30 0.56602 0.93699 1 13972 9 0.42034 0.0011651 0.00034455 0.005697 1140 17 0.42034
ENSG00000117410 ATP6V0B 30 0.80436 0.98641 1 16332 8 0.35043 0.0011669 0.00034455 0.005697 1141 17 0.35043
ENSG00000163743 RCHY1 30 0.83786 0.99066 1 16666 4 0.30628 0.0011686 0.00034455 0.005697 1142 18 0.30628
ENSG00000171863 RPS7 23 0.41989 0.84482 1 12104 7 0.055146 0.0011693 0.00034875 0.005756 1143 11 0.055146
ENSG00000180720 CHRM4 30 0.49684 0.90659 1 13061 9 0.51445 0.0011707 0.00034718 0.005735 1144 17 0.51445
ENSG00000141994 DUS3L 30 0.7242 0.97475 1 15630 4 0.2928 0.0011904 0.0003498 0.005763 1145 18 0.2928
ENSG00000109654 TRIM2 30 0.99303 0.99985 1 18194 2 0.23872 0.0011914 0.0003498 0.005763 1146 19 0.23872
ENSG00000205126 ACCSL 30 0.46663 0.89517 1 12707 9 0.21281 0.0011941 0.00035085 0.005776 1147 15 0.21281
ENSG00000184305 CCSER1 24 0.25383 0.71204 1 9418 7 0.15872 0.0011971 0.00036082 0.005899 1148 12 0.15872
ENSG00000103363 ELOB 30 0.55459 0.93248 1 13836 9 0.27176 0.0012025 0.00035295 0.005799 1149 16 0.27176
ENSG00000121940 CLCC1 30 0.88784 0.99469 1 17088 5 0.30598 0.0012029 0.00035295 0.005799 1150 17 0.30598
ENSG00000124486 USP9X 30 0.32031 0.80381 1 10607 10 0.14767 0.0012052 0.00035348 0.005799 1151 14 0.14767
ENSG00000214960 ISPD 30 0.92806 0.99753 1 17456 4 0.30939 0.0012053 0.00035348 0.005799 1152 18 0.30939
ENSG00000104147 OIP5 30 0.4423 0.88572 1 12411 8 0.37298 0.0012113 0.000354 0.005802 1153 16 0.37298
ENSG00000124074 ENKD1 30 0.30824 0.79418 1 10389 4 0.35996 0.0012244 0.00035662 0.00584 1154 16 0.35996
ENSG00000104731 KLHDC4 30 0.83367 0.99016 1 16628 5 0.32882 0.0012253 0.00035715 0.005844 1155 18 0.32882
ENSG00000173933 RBM4 18 0.051824 0.27161 1 4368 5 0.27525 0.0012359 0.00044427 0.006737 1156 9 0.27525
ENSG00000237412 PRSS56 30 0.98546 0.99964 1 18081 4 0.27685 0.001238 0.0003624 0.005914 1157 18 0.27685
ENSG00000218823 PAPOLB 30 0.8943 0.99511 1 17156 4 0.25913 0.0012416 0.00036502 0.005941 1158 17 0.25913
ENSG00000119946 CNNM1 30 0.87551 0.99387 1 16984 6 0.11394 0.0012456 0.00036555 0.005945 1159 15 0.11394
ENSG00000114942 EEF1B2 24 0.57927 0.92479 1 14130 7 0.17199 0.0012512 0.00037762 0.006094 1160 11 0.17199
ENSG00000166197 NOLC1 30 0.70003 0.969 1 15379 7 0.27899 0.0012556 0.00037027 0.006009 1161 16 0.27899
ENSG00000163877 SNIP1 30 0.11097 0.49895 1 6231 12 -0.053543 0.0012588 0.0003708 0.006009 1162 10 -0.053543
ENSG00000159713 TPPP3 30 0.95286 0.99847 1 17718 2 0.30614 0.0012591 0.0003708 0.006009 1163 19 0.30614
ENSG00000182158 CREB3L2 29 0.11452 0.50251 1 6310 8 0.29922 0.0012594 0.00036187 0.005911 1164 15 0.29922
ENSG00000136286 MYO1G 30 0.81759 0.98814 1 16472 4 0.20638 0.0012612 0.0003708 0.006009 1165 16 0.20638
ENSG00000102962 CCL22 30 0.99725 0.99995 1 18298 3 0.32994 0.0012632 0.00037289 0.006038 1166 18 0.32994
ENSG00000175166 PSMD2 29 0.37271 0.83928 1 11407 7 0.19392 0.0012659 0.00036397 0.005935 1167 13 0.19392
ENSG00000130332 LSM7 29 0.61708 0.94773 1 14551 9 0.37975 0.0012674 0.0003645 0.005938 1168 16 0.37975
ENSG00000103148 NPRL3 30 0.94876 0.99828 1 17672 5 0.34872 0.0012681 0.00037709 0.006094 1169 17 0.34872
ENSG00000162065 TBC1D24 30 0.99879 0.99997 1 18337 3 0.24065 0.0012718 0.00037762 0.006094 1170 16 0.24065
ENSG00000136267 DGKB 30 0.981 0.99952 1 18015 4 0.21491 0.0012736 0.00037814 0.006097 1171 15 0.21491
ENSG00000114391 RPL24 24 0.97431 0.99878 1 17950 2 0.36795 0.0012758 0.00038497 0.006197 1172 15 0.36795
ENSG00000134575 ACP2 30 0.5206 0.91739 1 13376 8 0.078205 0.0012792 0.00038129 0.006143 1173 13 0.078205
ENSG00000176029 C11orf16 30 0.93232 0.99771 1 17497 5 0.19317 0.0012882 0.00038602 0.006208 1174 15 0.19317
ENSG00000130638 ATXN10 30 0.79886 0.98568 1 16272 6 0.26376 0.0012894 0.00038654 0.006211 1175 19 0.26376
ENSG00000180185 FAHD1 30 0.99426 0.99987 1 18218 2 0.23305 0.0012931 0.00038811 0.006231 1176 18 0.23305
ENSG00000145555 MYO10 30 0.75957 0.98029 1 15910 5 0.30722 0.0013003 0.00039021 0.006248 1177 19 0.30722
ENSG00000163817 SLC6A20 30 0.26827 0.75511 1 9682 6 0.27002 0.0013004 0.00039021 0.006248 1178 17 0.27002
ENSG00000162066 AMDHD2 30 0.98181 0.99953 1 18025 2 0.18178 0.0013016 0.00039021 0.006248 1179 15 0.18178
ENSG00000215148 PRSS41 30 0.95015 0.99835 1 17689 3 0.23107 0.0013055 0.00039126 0.006248 1180 19 0.23107
ENSG00000132793 LPIN3 30 0.13383 0.55375 1 6795 7 0.17243 0.0013079 0.00039126 0.006248 1181 15 0.17243
ENSG00000157224 CLDN12 30 0.72379 0.97464 1 15624 6 0.27789 0.0013137 0.00039179 0.006248 1182 18 0.27789
ENSG00000172009 THOP1 30 0.75392 0.9795 1 15860 5 0.27344 0.0013173 0.00039179 0.006248 1183 17 0.27344
ENSG00000168140 VASN 30 0.21507 0.69333 1 8623 7 0.18965 0.0013177 0.00039179 0.006248 1184 15 0.18965
ENSG00000149932 TMEM219 30 0.064267 0.35873 1 4787 13 -0.10174 0.0013285 0.00039284 0.006254 1185 11 -0.10174
ENSG00000177565 TBL1XR1 30 0.44775 0.88803 1 12470 5 0.26314 0.001329 0.00039284 0.006254 1186 18 0.26314
ENSG00000122705 CLTA 30 0.74978 0.97897 1 15830 8 0.34445 0.0013324 0.00039336 0.006257 1187 16 0.34445
ENSG00000111731 C2CD5 30 0.97024 0.99921 1 17920 2 0.29078 0.001333 0.00039389 0.00626 1188 18 0.29078
ENSG00000099331 MYO9B 30 0.60996 0.9491 1 14490 9 0.22506 0.0013391 0.00039494 0.006271 1189 18 0.22506
ENSG00000148229 POLE3 30 0.76597 0.98132 1 15966 4 0.25246 0.0013451 0.00039546 0.006272 1190 17 0.25246
